Displacement,Load
0.93703,121.91183
0.93787,121.96457
0.93871,122.02509
0.93953,122.0631
0.94034,122.10387
0.94118,122.15926
0.94203,122.21942
0.94287,122.26858
0.9437,122.32716
0.94452,122.373
0.94534,122.41529
0.94619,122.47098
0.94703,122.52435
0.94787,122.57623
0.9487,122.6196
0.94952,122.65977
0.95036,122.72133
0.9512,122.76405
0.95204,122.81628
0.95287,122.86468
0.9537,122.9136
0.95453,122.96622
0.95536,123.00932
0.9562,123.05714
0.95704,123.10516
0.95786,123.14516
0.95871,123.20197
0.95954,123.24482
0.96036,123.28881
0.9612,123.34184
0.96203,123.39524
0.96286,123.43948
0.9637,123.48521
0.96454,123.53304
0.96536,123.57983
0.96618,123.61812
0.96701,123.67238
0.96786,123.73149
0.96871,123.78345
0.96954,123.83607
0.97035,123.86536
0.97118,123.91833
0.97203,123.96861
0.97287,124.01902
0.97371,124.0689
0.97453,124.10749
0.97535,124.14749
0.97619,124.1961
0.97703,124.24901
0.97788,124.30286
0.97871,124.34361
0.97952,124.37974
0.98034,124.41695
0.98119,124.47402
0.98203,124.523
0.98288,124.5703
0.98371,124.60139
0.98452,124.64738
0.98535,124.68494
0.9862,124.74272
0.98704,124.78989
0.98787,124.83805
0.9887,124.88307
0.98952,124.92609
0.99035,124.97078
0.99119,125.01985
0.99203,125.07298
0.99286,125.11547
0.9937,125.16636
0.99453,125.20604
0.99535,125.25217
0.99619,125.29817
0.99703,125.34412
0.99786,125.38718
0.99871,125.43745
0.99954,125.47433
1.00035,125.51303
1.00118,125.55621
1.00203,125.60955
1.00286,125.64984
1.00371,125.70374
1.00455,125.74817
1.00537,125.78276
1.00619,125.8242
1.00703,125.86492
1.00788,125.91589
1.00871,125.96035
1.00954,125.99881
1.01035,126.035
1.01119,126.08366
1.01203,126.12096
1.01288,126.17696
1.01371,126.216
1.01453,126.24603
1.01534,126.29071
1.01619,126.34382
1.01704,126.38672
1.01787,126.43029
1.0187,126.47907
1.01953,126.51345
1.02034,126.54914
1.02119,126.60119
1.02204,126.65592
1.02288,126.69958
1.0237,126.74094
1.02453,126.78306
1.02535,126.8221
1.0262,126.87209
1.02704,126.92428
1.02787,126.956
1.02869,126.99665
1.02953,127.03587
1.03035,127.07793
1.03121,127.1344
1.03204,127.16675
1.03287,127.21838
1.0337,127.25851
1.03453,127.29216
1.03535,127.32478
1.0362,127.37991
1.03703,127.42154
1.03786,127.46604
1.0387,127.51831
1.03954,127.5464
1.04036,127.59106
1.04119,127.63486
1.04202,127.65984
1.04286,127.71225
1.04371,127.75873
1.04454,127.80432
1.04535,127.82335
1.04619,127.86266
1.04703,127.91714
1.04787,127.95412
1.04871,127.99004
1.04953,128.03278
1.05034,128.0596
1.05119,128.10609
1.05204,128.15627
1.05287,128.1898
1.05371,128.22511
1.05453,128.26634
1.05534,128.29152
1.05619,128.34679
1.05704,128.39615
1.05788,128.4295
1.05871,128.47021
1.05953,128.49722
1.06035,128.53665
1.0612,128.58391
1.06204,128.62653
1.06288,128.66943
1.0637,128.70517
1.06453,128.73524
1.06535,128.77469
1.0662,128.82146
1.06704,128.86526
1.06787,128.90236
1.0687,128.94212
1.06952,128.96783
1.07035,128.99966
1.0712,129.04713
1.07203,129.08461
1.07287,129.12578
1.0737,129.16298
1.07454,129.21117
1.07537,129.23279
1.07621,129.27782
1.07703,129.32104
1.07786,129.35127
1.0787,129.39038
1.07953,129.43303
1.08036,129.47632
1.0812,129.50722
1.08202,129.54733
1.08287,129.59651
1.08371,129.63609
1.08453,129.6828
1.08535,129.70685
1.08618,129.75644
1.08702,129.80136
1.08787,129.84369
1.08871,129.87901
1.08953,129.91354
1.09035,129.94691
1.09119,129.9894
1.09203,130.02661
1.09287,130.0731
1.09371,130.11221
1.09453,130.13866
1.09535,130.17261
1.09619,130.21681
1.09703,130.2666
1.09788,130.30641
1.0987,130.3383
1.09952,130.37051
1.10035,130.41286
1.10119,130.46062
1.10204,130.50363
1.10288,130.54741
1.1037,130.57179
1.10452,130.60883
1.10534,130.64442
1.1062,130.68864
1.10704,130.73648
1.10786,130.77859
1.10869,130.81596
1.10952,130.84503
1.11036,130.88933
1.1112,130.92303
1.11203,130.97849
1.11287,131.0137
1.1137,131.05165
1.11453,131.08171
1.11537,131.12344
1.1162,131.15991
1.11703,131.18845
1.11788,131.24127
1.1187,131.26204
1.11954,131.30562
1.12036,131.33165
1.12119,131.3644
1.12203,131.40457
1.12287,131.44417
1.1237,131.48047
1.12453,131.50806
1.12535,131.54793
1.12619,131.5826
1.12703,131.62137
1.12788,131.66577
1.12872,131.69914
1.12953,131.73187
1.13034,131.75568
1.13118,131.79688
1.13203,131.83372
1.13287,131.88048
1.1337,131.91454
1.13452,131.94363
1.13534,131.97684
1.13619,132.01767
1.13703,132.07404
1.13788,132.10364
1.1387,132.13411
1.13952,132.15976
1.14035,132.1942
1.1412,132.24129
1.14204,132.28654
1.14288,132.31331
1.1437,132.34654
1.14452,132.36951
1.14536,132.42212
1.1462,132.45279
1.14704,132.49545
1.14786,132.52513
1.14869,132.55499
1.14952,132.58644
1.15036,132.62473
1.1512,132.66814
1.15203,132.69766
1.15286,132.73862
1.1537,132.76906
1.15452,132.80121
1.15535,132.82962
1.15619,132.87259
1.15702,132.90645
1.15786,132.93857
1.15869,132.97531
1.15953,133.01964
1.16035,133.04216
1.16119,133.08087
1.16203,133.11621
